[96mGenerating FPChecker report...[00m
Trace files found: 0
Error files found: 1

===== Rounding Error Report =====
Files with rounding errors: 3
Lines with rounding errors: 623
Max abs rounding error:   2.370555e+27
Max relative error:       inf
Max seen relative error:  inf

--- File: /g/g90/sharmin1/tutorial/FPChecker/experiments/proxy_apps/mixed_precision/lulesh_new/lulesh_2/before/lulesh-init.cc
Line   | Code                                           |         Error |    Rel. Error | Max Rel. Error
1751   | dxv = Real_t(-0.25)*((xv0+xv1+xv5+xv4) - (x... |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
1752   | dyv = Real_t(-0.25)*((yv0+yv1+yv5+yv4) - (y... |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
1753   | dzv = Real_t(-0.25)*((zv0+zv1+zv5+zv4) - (z... |  0.000000e+00 |  0.000000e+00 |  1.000002e+00
1755   | domain.delv_eta(i) = ax*dxv + ay*dyv + az*d... |  0.000000e+00 |  0.000000e+00 |  1.000004e+00
1779   | Real_t norm = Real_t(1.) / (domain.delv_xi(... |  2.370555e+27 |  2.370555e-09 |  2.068036e+46
1783   | case 0:         delvm = domain.delv_xi(doma... |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
1793   | case 0:         delvp = domain.delv_xi(doma... |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
1802   | delvm = delvm * norm ;                         |  0.000000e+00 |  0.000000e+00 |           inf
1803   | delvp = delvp * norm ;                         |  0.000000e+00 |  0.000000e+00 |  6.126733e+01
1805   | phixi = Real_t(.5) * ( delvm + delvp ) ;       |  0.000000e+00 |  0.000000e+00 |           inf
1807   | delvm *= monoq_limiter_mult ;                  |  0.000000e+00 |  0.000000e+00 |           inf
1808   | delvp *= monoq_limiter_mult ;                  |  0.000000e+00 |  0.000000e+00 |  6.126733e+01
1810   | if ( delvm < phixi ) phixi = delvm ;           |  0.000000e+00 |  0.000000e+00 |           inf
1811   | if ( delvp < phixi ) phixi = delvp ;           |  0.000000e+00 |  0.000000e+00 |           inf
1812   | if ( phixi < Real_t(0.)) phixi = Real_t(0.) ;  |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
1813   | if ( phixi > monoq_max_slope) phixi = monoq... |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
1817   | norm = Real_t(1.) / ( domain.delv_eta(ielem... |  2.370555e+27 |  2.370555e-09 |  2.068036e+46
1821   | case 0:          delvm = domain.delv_eta(do... |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
1831   | case 0:          delvp = domain.delv_eta(do... |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
1840   | delvm = delvm * norm ;                         |  0.000000e+00 |  0.000000e+00 |           inf
1841   | delvp = delvp * norm ;                         |  0.000000e+00 |  0.000000e+00 |  6.126734e+01
1843   | phieta = Real_t(.5) * ( delvm + delvp ) ;      |  0.000000e+00 |  0.000000e+00 |           inf
1845   | delvm *= monoq_limiter_mult ;                  |  0.000000e+00 |  0.000000e+00 |           inf
1846   | delvp *= monoq_limiter_mult ;                  |  0.000000e+00 |  0.000000e+00 |  6.126734e+01
1848   | if ( delvm  < phieta ) phieta = delvm ;        |  0.000000e+00 |  0.000000e+00 |           inf
1849   | if ( delvp  < phieta ) phieta = delvp ;        |  0.000000e+00 |  0.000000e+00 |           inf
1850   | if ( phieta < Real_t(0.)) phieta = Real_t(0... |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
1851   | if ( phieta > monoq_max_slope)  phieta = mo... |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
1854   | norm = Real_t(1.) / ( domain.delv_zeta(iele... |  2.370555e+27 |  2.370555e-09 |  2.068036e+46
1858   | case 0:           delvm = domain.delv_zeta(... |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
1868   | case 0:           delvp = domain.delv_zeta(... |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
1877   | delvm = delvm * norm ;                         |  0.000000e+00 |  0.000000e+00 |           inf
1878   | delvp = delvp * norm ;                         |  0.000000e+00 |  0.000000e+00 |  6.126734e+01
1880   | phizeta = Real_t(.5) * ( delvm + delvp ) ;     |  0.000000e+00 |  0.000000e+00 |           inf
1882   | delvm *= monoq_limiter_mult ;                  |  0.000000e+00 |  0.000000e+00 |           inf
1883   | delvp *= monoq_limiter_mult ;                  |  0.000000e+00 |  0.000000e+00 |  6.126734e+01
1885   | if ( delvm   < phizeta ) phizeta = delvm ;     |  0.000000e+00 |  0.000000e+00 |           inf
1886   | if ( delvp   < phizeta ) phizeta = delvp ;     |  0.000000e+00 |  0.000000e+00 |           inf
1887   | if ( phizeta < Real_t(0.)) phizeta = Real_t... |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
1888   | if ( phizeta > monoq_max_slope  ) phizeta =... |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
1892   | if ( domain.vdov(ielem) > Real_t(0.) )  {      |  0.000000e+00 |  0.000000e+00 |  1.013303e+00
1897   | Real_t delvxxi   = domain.delv_xi(ielem)   ... |  0.000000e+00 |  0.000000e+00 |  1.816497e+00
1898   | Real_t delvxeta  = domain.delv_eta(ielem)  ... |  0.000000e+00 |  0.000000e+00 |  1.816497e+00
1899   | Real_t delvxzeta = domain.delv_zeta(ielem) ... |  0.000000e+00 |  0.000000e+00 |  1.816497e+00
1901   | if ( delvxxi   > Real_t(0.) ) delvxxi   = R... |  0.000000e+00 |  0.000000e+00 |           inf
1902   | if ( delvxeta  > Real_t(0.) ) delvxeta  = R... |  0.000000e+00 |  0.000000e+00 |           inf
1903   | if ( delvxzeta > Real_t(0.) ) delvxzeta = R... |  0.000000e+00 |  0.000000e+00 |           inf
1905   | Real_t rho = domain.elemMass(ielem) / (doma... |  0.000000e+00 |  0.000000e+00 |  1.169360e+21
1907   | qlin = -qlc_monoq * rho *                      |  0.000000e+00 |  0.000000e+00 |           inf
1908   | (  delvxxi   * (Real_t(1.) - phixi) +          |  0.000000e+00 |  0.000000e+00 |           inf
1909   | delvxeta  * (Real_t(1.) - phieta) +            |  0.000000e+00 |  0.000000e+00 |           inf
1910   | delvxzeta * (Real_t(1.) - phizeta)  ) ;        |  0.000000e+00 |  0.000000e+00 |           inf
1912   | qquad = qqc_monoq * rho *                      |  0.000000e+00 |  0.000000e+00 |           inf
1913   | (  delvxxi*delvxxi     * (Real_t(1.) - phix... |  0.000000e+00 |  0.000000e+00 |           inf
1914   | delvxeta*delvxeta   * (Real_t(1.) - phieta*... |  0.000000e+00 |  0.000000e+00 |           inf
1915   | delvxzeta*delvxzeta * (Real_t(1.) - phizeta... |  0.000000e+00 |  0.000000e+00 |           inf
1918   | domain.qq(ielem) = qquad ;                     |  0.000000e+00 |  0.000000e+00 |           inf
1919   | domain.ql(ielem) = qlin  ;                     |  0.000000e+00 |  0.000000e+00 |           inf
1995   | for (Index_t i=0; i<numElem; ++i) {            |  0.000000e+00 |  0.000000e+00 |  0.000000e+00
1996   | if ( domain.q(i) > domain.qstop() ) {          |  0.000000e+00 |  0.000000e+00 |           inf
2025   | bvc[i] = c1s * (compression[i] + Real_t(1.));  |  0.000000e+00 |  0.000000e+00 |           inf
2033   | p_new[i] = bvc[i] * e_old[i] ;                 |  0.000000e+00 |  0.000000e+00 |           inf
2035   | if    (FABS(p_new[i]) <  p_cut   )             |  0.000000e+00 |  0.000000e+00 |           inf
2038   | if    ( vnewc[ielem] >= eosvmax ) /* imposs... |  0.000000e+00 |  0.000000e+00 |           inf
2041   | if    (p_new[i]       <  pmin)                 |  0.000000e+00 |  0.000000e+00 |  0.000000e+00
2064   | e_new[i] = e_old[i] - Real_t(0.5) * delvc[i... |  0.000000e+00 |  0.000000e+00 |           inf
2065   | + Real_t(0.5) * work[i];                       |  0.000000e+00 |  0.000000e+00 |  1.004240e+00
2067   | if (e_new[i]  < emin ) {                       |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
2077   | Real_t vhalf = Real_t(1.) / (Real_t(1.) + c... |  0.000000e+00 |  0.000000e+00 |           inf
2079   | if ( delvc[i] > Real_t(0.) ) {                 |  0.000000e+00 |  0.000000e+00 |  1.080999e+00
2083   | Real_t ssc = ( pbvc[i] * e_new[i]              |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
2084   | + vhalf * vhalf * bvc[i] * pHalfStep[i] ) /... |  0.000000e+00 |  0.000000e+00 |           inf
2086   | if ( ssc <= Real_t(.1111111e-36) ) {           |  0.000000e+00 |  0.000000e+00 |  0.000000e+00
2092   | q_new[i] = (ssc*ql_old[i] + qq_old[i]) ;       |  0.000000e+00 |  0.000000e+00 |           inf
2095   | e_new[i] = e_new[i] + Real_t(0.5) * delvc[i]   |  0.000000e+00 |  0.000000e+00 |           inf
2096   | * (  Real_t(3.0)*(p_old[i]     + q_old[i])     |  0.000000e+00 |  0.000000e+00 |           inf
2097   | - Real_t(4.0)*(pHalfStep[i] + q_new[i])) ;     |  0.000000e+00 |  0.000000e+00 |           inf
2103   | e_new[i] += Real_t(0.5) * work[i];             |  0.000000e+00 |  0.000000e+00 |           inf
2105   | if (FABS(e_new[i]) < e_cut) {                  |  0.000000e+00 |  0.000000e+00 |           inf
2108   | if (     e_new[i]  < emin ) {                  |  0.000000e+00 |  0.000000e+00 |           inf
2122   | if (delvc[i] > Real_t(0.)) {                   |  0.000000e+00 |  0.000000e+00 |  1.080999e+00
2126   | Real_t ssc = ( pbvc[i] * e_new[i]              |  0.000000e+00 |  0.000000e+00 |           inf
2127   | + vnewc[ielem] * vnewc[ielem] * bvc[i] * p_... |  0.000000e+00 |  0.000000e+00 |           inf
2129   | if ( ssc <= Real_t(.1111111e-36) ) {           |  0.000000e+00 |  0.000000e+00 |  0.000000e+00
2135   | q_tilde = (ssc*ql_old[i] + qq_old[i]) ;        |  0.000000e+00 |  0.000000e+00 |           inf
2138   | e_new[i] = e_new[i] - (  Real_t(7.0)*(p_old... |  0.000000e+00 |  0.000000e+00 |           inf
2139   | - Real_t(8.0)*(pHalfStep[i] + q_new[i])        |  0.000000e+00 |  0.000000e+00 |           inf
2140   | + (p_new[i] + q_tilde)) * delvc[i]*sixth ;     |  0.000000e+00 |  0.000000e+00 |           inf
2142   | if (FABS(e_new[i]) < e_cut) {                  |  0.000000e+00 |  0.000000e+00 |           inf
2145   | if (     e_new[i]  < emin ) {                  |  0.000000e+00 |  0.000000e+00 |           inf
2157   | if ( delvc[i] <= Real_t(0.) ) {                |  0.000000e+00 |  0.000000e+00 |  1.080999e+00
2158   | Real_t ssc = ( pbvc[i] * e_new[i]              |  0.000000e+00 |  0.000000e+00 |           inf
2159   | + vnewc[ielem] * vnewc[ielem] * bvc[i] * p_... |  0.000000e+00 |  0.000000e+00 |           inf
2161   | if ( ssc <= Real_t(.1111111e-36) ) {           |  0.000000e+00 |  0.000000e+00 |  0.000000e+00
2167   | q_new[i] = (ssc*ql_old[i] + qq_old[i]) ;       |  0.000000e+00 |  0.000000e+00 |           inf
2169   | if (FABS(q_new[i]) < q_cut) q_new[i] = Real... |  0.000000e+00 |  0.000000e+00 |  0.000000e+00
2190   | Real_t ssTmp = (pbvc[i] * enewc[i] + vnewc[... |  0.000000e+00 |  0.000000e+00 |           inf
2191   | bvc[i] * pnewc[i]) / rho0;                     |  0.000000e+00 |  0.000000e+00 |           inf
2192   | if (ssTmp <= Real_t(.1111111e-36)) {           |  0.000000e+00 |  0.000000e+00 |  0.000000e+00
2198   | domain.ss(ielem) = ssTmp ;                     |  0.000000e+00 |  0.000000e+00 |           inf
2245   | e_old[i] = domain.e(ielem) ;                   |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
2246   | delvc[i] = domain.delv(ielem) ;                |  0.000000e+00 |  0.000000e+00 |  1.080999e+00
2247   | p_old[i] = domain.p(ielem) ;                   |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
2248   | q_old[i] = domain.q(ielem) ;                   |  0.000000e+00 |  0.000000e+00 |           inf
2249   | qq_old[i] = domain.qq(ielem) ;                 |  0.000000e+00 |  0.000000e+00 |           inf
2250   | ql_old[i] = domain.ql(ielem) ;                 |  0.000000e+00 |  0.000000e+00 |           inf
2257   | compression[i] = Real_t(1.) / vnewc[ielem] ... |  0.000000e+00 |  0.000000e+00 |  1.169360e+21
2258   | vchalf = vnewc[ielem] - delvc[i] * Real_t(.5); |  0.000000e+00 |  0.000000e+00 |  1.080999e+00
2259   | compHalfStep[i] = Real_t(1.) / vchalf - Rea... |  0.000000e+00 |  0.000000e+00 |  5.846782e+20
2267   | if (vnewc[ielem] <= eosvmin) { /* impossibl... |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
2276   | if (vnewc[ielem] >= eosvmax) { /* impossibl... |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
2300   | domain.p(ielem) = p_new[i] ;                   |  0.000000e+00 |  0.000000e+00 |           inf
2301   | domain.e(ielem) = e_new[i] ;                   |  0.000000e+00 |  0.000000e+00 |           inf
2302   | domain.q(ielem) = q_new[i] ;                   |  0.000000e+00 |  0.000000e+00 |           inf
2343   | vnewc[i] = domain.vnew(i) ;                    |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
2347   | if (eosvmin != Real_t(0.)) {                   |  0.000000e+00 |  0.000000e+00 |  0.000000e+00
2350   | if (vnewc[i] < eosvmin)                        |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
2355   | if (eosvmax != Real_t(0.)) {                   |  0.000000e+00 |  0.000000e+00 |  0.000000e+00
2358   | if (vnewc[i] > eosvmax)                        |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
2368   | Real_t vc = domain.v(i) ;                      |  0.000000e+00 |  0.000000e+00 |  3.789159e-01
2369   | if (eosvmin != Real_t(0.)) {                   |  0.000000e+00 |  0.000000e+00 |  3.789159e-01
2373   | if (eosvmax != Real_t(0.)) {                   |  0.000000e+00 |  0.000000e+00 |  3.789159e-01
2377   | if (vc <= 0.) {                                |  0.000000e+00 |  0.000000e+00 |  0.000000e+00
2417   | Real_t tmpV = domain.vnew(i) ;                 |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
2419   | if ( FABS(tmpV - Real_t(1.0)) < v_cut )        |  0.000000e+00 |  0.000000e+00 |  1.317334e+00
2422   | domain.v(i) = tmpV ;                           |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
2464   | Real_t   qqc2 = Real_t(64.0) * qqc * qqc ;     |  0.000000e+00 |  0.000000e+00 |  0.000000e+00
2465   | Real_t   dtcourant_tmp = dtcourant;            |  0.000000e+00 |           inf |           inf
2477   | Real_t dtf = domain.ss(indx) * domain.ss(in... | -4.128213e-45 |  3.715392e-08 |           inf
2479   | if ( domain.vdov(indx) < Real_t(0.) ) {        |  0.000000e+00 |  0.000000e+00 |  1.013303e+00
2481   | + qqc2 * domain.arealg(indx) * domain.areal... |  1.181815e+18 |  1.000000e+00 |           inf
2482   | * domain.vdov(indx) * domain.vdov(indx) ;      |  1.181815e+18 |  1.000000e+00 |  1.000000e+00
2486   | dtf = domain.arealg(indx) / dtf ;              |  0.000000e+00 |  0.000000e+00 |           inf
2488   | if (domain.vdov(indx) != Real_t(0.)) {         |  0.000000e+00 |           inf |           inf
2508   | dtcourant = dtcourant_per_thread[0] ;          |  0.000000e+00 |           inf |           inf
2533   | Real_t dthydro_tmp = dthydro ;                 | -1.521264e-04 |  3.379606e+02 |  4.109692e+04
2546   | if (domain.vdov(indx) != Real_t(0.)) {         |  0.000000e+00 |  0.000000e+00 |  1.013303e+00
2547   | Real_t dtdvov = dvovmax / (FABS(domain.vdov... | -8.664229e+02 |  1.924826e+09 |  5.706511e+10
2549   | if ( dthydro_tmp > dtdvov ) {                  | -3.566467e-05 |  7.923735e+01 |  4.109692e+04
2568   | dthydro =  dthydro_per_thread[0] ;             | -3.566467e-05 |  7.923735e+01 |  4.109692e+04
2745   | while((locDom->time() < locDom->stoptime())... |  0.000000e+00 |  0.000000e+00 |  3.430874e-01
